location_i,total_shoo,city_distr,city_counc,house_dist,phila_hous,lat,lon
100 block of E Clearfield St,13,District 7,Maria D. Quiñones-Sánchez,District 180,"Cruz, Angel",39.99694391,-75.12955089
100 block of E Pastorius St,11,District 8,Cindy Bass,District 201,"Kinsey, Stephen",40.04358387,-75.17754101
100 block of E Wishart St,11,District 7,Maria D. Quiñones-Sánchez,District 180,"Cruz, Angel",39.99782559,-75.12798306
1300 block of W Olney Ave,14,District 9,Cherelle Parker,District 201,"Kinsey, Stephen",40.03862981,-75.14293056
1400 block of Conlyn St,12,District 8,Cindy Bass,District 201,"Kinsey, Stephen",40.04199218,-75.14411072
1500 block of W Lehigh Ave,16,District 5,Darrell L. Clarke,District 197,"Burgos, Danilo",39.99422767,-75.15729755
1800 block of E Allegheny Ave,12,District 1,Mark Squilla,District 180,"Cruz, Angel",39.99584308,-75.11268316
1800 block of E Tioga St,10,District 1,Mark Squilla,District 180,"Cruz, Angel",39.99958562,-75.10583415
1800 block of Hart Ln,17,District 7,Maria D. Quiñones-Sánchez,District 175,"Isaacson, MaryLouise",39.99196234,-75.12153815
1800 block of Judson St,11,District 5,Darrell L. Clarke,District 195,"Bullock, Donna",39.98312077,-75.17269042
1800 block of W Susquehanna Ave,18,District 5,Darrell L. Clarke,District 181,"Kenyatta, Malcolm",39.9870965,-75.1627655
1900 block of E Somerset St,16,District 7,Maria D. Quiñones-Sánchez,District 175,"Isaacson, MaryLouise",39.9901975,-75.1215421
200 block of E Indiana Ave,17,District 7,Maria D. Quiñones-Sánchez,District 180,"Cruz, Angel",39.9950808,-75.1266497
200 block of S 60th St,14,District 3,Jamie Gauthier,District 191,"McClinton, Joanna E.",39.95683331,-75.24177495
200 block of W Ontario St,10,District 7,Maria D. Quiñones-Sánchez,District 197,"Burgos, Danilo",40.00220468,-75.13315617
2600 block of W Lehigh Ave,12,District 4,"Curtis Jones, Jr.",District 195,"Bullock, Donna",39.99671008,-75.17539561
2800 block of Boudinot St,10,District 7,Maria D. Quiñones-Sánchez,District 180,"Cruz, Angel",39.99194625,-75.12350762
2800 block of N Bonsall St,10,District 8,Cindy Bass,District 197,"Burgos, Danilo",39.99840023,-75.16915006
2900 block of Frankford Ave,10,District 1,Mark Squilla,District 175,"Isaacson, MaryLouise",39.9905938,-75.11541823
2900 block of N Howard St,10,District 7,Maria D. Quiñones-Sánchez,District 180,"Cruz, Angel",39.99421067,-75.13132092
2900 block of Rosehill St,10,District 7,Maria D. Quiñones-Sánchez,District 180,"Cruz, Angel",39.99337839,-75.12494569
2900 block of Waterloo St,10,District 7,Maria D. Quiñones-Sánchez,District 180,"Cruz, Angel",39.9946876,-75.1316843
3000 block of A St,13,District 7,Maria D. Quiñones-Sánchez,District 180,"Cruz, Angel",39.99618792,-75.12758907
3000 block of N Water St,13,District 7,Maria D. Quiñones-Sánchez,District 180,"Cruz, Angel",39.99543543,-75.12896991
3000 block of W Susquehanna Ave,11,District 5,Darrell L. Clarke,District 195,"Bullock, Donna",39.9897435,-75.18330586
3100 block of Custer St,11,District 7,Maria D. Quiñones-Sánchez,District 180,"Cruz, Angel",39.99632774,-75.11656526
3100 block of E St,11,District 7,Maria D. Quiñones-Sánchez,District 180,"Cruz, Angel",39.99630947,-75.11958569
3100 block of Jasper St,13,District 1,Mark Squilla,District 175,"Isaacson, MaryLouise",39.9939228,-75.1146546
3100 block of Kensington Ave,21,District 7,Maria D. Quiñones-Sánchez,District 180,"Cruz, Angel",39.99540905,-75.11550576
3100 block of N Front St,14,District 7,Maria D. Quiñones-Sánchez,District 180,"Cruz, Angel",39.99726715,-75.12948171
3300 block of H St,10,District 7,Maria D. Quiñones-Sánchez,District 180,"Cruz, Angel",39.99919509,-75.11272856
3400 block of H St,12,District 7,Maria D. Quiñones-Sánchez,District 180,"Cruz, Angel",40.00043093,-75.11262789
3500 block of Emerald St,14,District 1,Mark Squilla,District 180,"Cruz, Angel",39.99805355,-75.10369696
3500 block of Germantown Ave,10,District 5,Darrell L. Clarke,District 197,"Burgos, Danilo",40.00632631,-75.14984553
3600 block of Germantown Ave,12,District 5,Darrell L. Clarke,District 197,"Burgos, Danilo",40.0078199,-75.15044266
400 block of W Indiana Ave,17,District 7,Maria D. Quiñones-Sánchez,District 180,"Cruz, Angel",39.99652965,-75.13841838
4100 block of N Broad St,19,District 5,Darrell L. Clarke,District 197,"Burgos, Danilo",40.01657974,-75.14972741
4100 block of Ogden St,12,District 3,Jamie Gauthier,District 190,"Brown, Amen",39.96917289,-75.20608735
4200 block of Macalester St,11,District 7,Maria D. Quiñones-Sánchez,District 197,"Burgos, Danilo",40.01489157,-75.11955575
4300 block of Germantown Ave,13,District 8,Cindy Bass,District 198,"Parker, Darisha K.",40.01928581,-75.15590113
4400 block of Holden St,10,District 3,Jamie Gauthier,District 190,"Brown, Amen",39.95877506,-75.20927338
4500 block of N 19th St,10,District 8,Cindy Bass,District 198,"Parker, Darisha K.",40.02338762,-75.15636201
4700 block of Griscom St,13,District 7,Maria D. Quiñones-Sánchez,District 179,"Dawkins, Jason",40.01708321,-75.08473445
4900 block of Frankford Ave,14,District 7,Maria D. Quiñones-Sánchez,District 179,"Dawkins, Jason",40.01975685,-75.08103272
5000 block of Germantown Ave,18,District 8,Cindy Bass,District 198,"Parker, Darisha K.",40.0299434,-75.16438281
5100 block of Haverford Ave,13,District 3,Jamie Gauthier,District 190,"Brown, Amen",39.96422156,-75.22206707
600 block of E Lippincott St,10,District 7,Maria D. Quiñones-Sánchez,District 180,"Cruz, Angel",39.99643012,-75.11939903
600 block of W Clearfield St,12,District 5,Darrell L. Clarke,District 197,"Burgos, Danilo",39.99852446,-75.14194737
6000 block of Reinhard St,11,District 2,Kenyatta Johnson,District 191,"McClinton, Joanna E.",39.93176923,-75.23031971
6100 block of Market St,10,District 3,Jamie Gauthier,District 191,"McClinton, Joanna E.",39.96217984,-75.24445327
700 block of E Clearfield St,14,District 7,Maria D. Quiñones-Sánchez,District 180,"Cruz, Angel",39.99544774,-75.11760002
700 block of E Hilton St,14,District 7,Maria D. Quiñones-Sánchez,District 180,"Cruz, Angel",39.99746819,-75.11715733
700 block of E Madison St,11,District 7,Maria D. Quiñones-Sánchez,District 180,"Cruz, Angel",39.99776024,-75.11661976
700 block of W Russell St,11,District 7,Maria D. Quiñones-Sánchez,District 197,"Burgos, Danilo",40.0039113,-75.1420916
800 block of E Allegheny Ave,17,District 7,Maria D. Quiñones-Sánchez,District 180,"Cruz, Angel",39.9965875,-75.1147235
800 block of W Clearfield St,10,District 5,Darrell L. Clarke,District 181,"Kenyatta, Malcolm",39.9988138,-75.14403523
900 block of W Butler St,10,District 5,Darrell L. Clarke,District 197,"Burgos, Danilo",40.00974083,-75.14246074
